signal,param_name,param_value,dev_tp,dev_fn,dev_fp,dev_tn,dev_recall,dev_fp_rate,dev_precision,dev_f1,dev_fp_ids,dev_fn_ids,test_tp,test_fn,test_fp,test_tn,test_recall,test_fp_rate,test_precision,test_f1,test_fp_ids,test_fn_ids
B,CORPUS_DIST_K,-3.0,0,1,0,29,0.0,0.0,0.0,0.0,,cardio_10,0,15,0,55,0.0,0.0,0.0,0.0,,cardio_28;cardio_29;cardio_30;cardio_31;cardio_32;cardio_46;cardio_47;cardio_48;endo_39;endo_40;endo_41;endo_42;endo_43;endo_44;endo_50
B,CORPUS_DIST_K,-2.5,0,1,0,29,0.0,0.0,0.0,0.0,,cardio_10,0,15,0,55,0.0,0.0,0.0,0.0,,cardio_28;cardio_29;cardio_30;cardio_31;cardio_32;cardio_46;cardio_47;cardio_48;endo_39;endo_40;endo_41;endo_42;endo_43;endo_44;endo_50
B,CORPUS_DIST_K,-2.0,0,1,0,29,0.0,0.0,0.0,0.0,,cardio_10,0,15,0,55,0.0,0.0,0.0,0.0,,cardio_28;cardio_29;cardio_30;cardio_31;cardio_32;cardio_46;cardio_47;cardio_48;endo_39;endo_40;endo_41;endo_42;endo_43;endo_44;endo_50
B,CORPUS_DIST_K,-1.7,0,1,0,29,0.0,0.0,0.0,0.0,,cardio_10,0,15,1,54,0.0,0.01818181818181818,0.0,0.0,cardio_49,cardio_28;cardio_29;cardio_30;cardio_31;cardio_32;cardio_46;cardio_47;cardio_48;endo_39;endo_40;endo_41;endo_42;endo_43;endo_44;endo_50
B,CORPUS_DIST_K,-1.5,0,1,0,29,0.0,0.0,0.0,0.0,,cardio_10,0,15,2,53,0.0,0.03636363636363636,0.0,0.0,cardio_23;cardio_49,cardio_28;cardio_29;cardio_30;cardio_31;cardio_32;cardio_46;cardio_47;cardio_48;endo_39;endo_40;endo_41;endo_42;endo_43;endo_44;endo_50
B,CORPUS_DIST_K,-1.3,0,1,1,28,0.0,0.034482758620689655,0.0,0.0,endo_11,cardio_10,0,15,3,52,0.0,0.05454545454545454,0.0,0.0,cardio_23;cardio_42;cardio_49,cardio_28;cardio_29;cardio_30;cardio_31;cardio_32;cardio_46;cardio_47;cardio_48;endo_39;endo_40;endo_41;endo_42;endo_43;endo_44;endo_50
B,CORPUS_DIST_K,-1.0,0,1,6,23,0.0,0.20689655172413793,0.0,0.0,cardio_2;cardio_6;cardio_9;cardio_13;endo_6;endo_11,cardio_10,2,13,9,46,0.13333333333333333,0.16363636363636364,0.18181818181818182,0.15384615384615383,cardio_19;cardio_23;cardio_24;cardio_25;cardio_27;cardio_39;cardio_42;cardio_49;endo_48,cardio_28;cardio_29;cardio_30;cardio_31;cardio_32;cardio_47;endo_39;endo_40;endo_41;endo_42;endo_43;endo_44;endo_50
B,CORPUS_DIST_K,-0.7,0,1,12,17,0.0,0.41379310344827586,0.0,0.0,cardio_2;cardio_3;cardio_5;cardio_6;cardio_9;cardio_12;cardio_13;cardio_15;endo_4;endo_6;endo_11;endo_13,cardio_10,8,7,13,42,0.5333333333333333,0.23636363636363636,0.38095238095238093,0.4444444444444444,cardio_19;cardio_23;cardio_24;cardio_25;cardio_27;cardio_35;cardio_38;cardio_39;cardio_42;cardio_49;cardio_50;endo_48;endo_49,cardio_30;cardio_31;endo_39;endo_41;endo_43;endo_44;endo_50
B,CORPUS_DIST_K,-0.5,0,1,14,15,0.0,0.4827586206896552,0.0,0.0,cardio_1;cardio_2;cardio_3;cardio_5;cardio_6;cardio_9;cardio_12;cardio_13;cardio_14;cardio_15;endo_4;endo_6;endo_11;endo_13,cardio_10,8,7,18,37,0.5333333333333333,0.32727272727272727,0.3076923076923077,0.3902439024390244,cardio_16;cardio_19;cardio_21;cardio_23;cardio_24;cardio_25;cardio_27;cardio_35;cardio_38;cardio_39;cardio_42;cardio_49;cardio_50;endo_20;endo_34;endo_45;endo_48;endo_49,cardio_30;cardio_31;endo_39;endo_41;endo_43;endo_44;endo_50
B,CORPUS_DIST_K,-0.3,1,0,15,14,1.0,0.5172413793103449,0.0625,0.11764705882352941,cardio_1;cardio_2;cardio_3;cardio_5;cardio_6;cardio_9;cardio_12;cardio_13;cardio_14;cardio_15;endo_1;endo_4;endo_6;endo_11;endo_13,,12,3,28,27,0.8,0.509090909090909,0.3,0.4363636363636363,cardio_16;cardio_18;cardio_19;cardio_21;cardio_22;cardio_23;cardio_24;cardio_25;cardio_27;cardio_35;cardio_36;cardio_38;cardio_39;cardio_42;cardio_49;cardio_50;endo_16;endo_17;endo_20;endo_26;endo_28;endo_34;endo_35;endo_37;endo_45;endo_47;endo_48;endo_49,cardio_30;endo_41;endo_43
B,CORPUS_DIST_K,0.0,1,0,23,6,1.0,0.7931034482758621,0.041666666666666664,0.07999999999999999,cardio_1;cardio_2;cardio_3;cardio_4;cardio_5;cardio_6;cardio_7;cardio_9;cardio_12;cardio_13;cardio_14;cardio_15;endo_1;endo_2;endo_4;endo_6;endo_8;endo_9;endo_10;endo_11;endo_12;endo_13;endo_15,,14,1,39,16,0.9333333333333333,0.7090909090909091,0.2641509433962264,0.411764705882353,cardio_16;cardio_18;cardio_19;cardio_20;cardio_21;cardio_22;cardio_23;cardio_24;cardio_25;cardio_26;cardio_27;cardio_33;cardio_34;cardio_35;cardio_36;cardio_37;cardio_38;cardio_39;cardio_40;cardio_41;cardio_42;cardio_44;cardio_49;cardio_50;endo_16;endo_17;endo_20;endo_24;endo_26;endo_27;endo_28;endo_30;endo_34;endo_35;endo_37;endo_45;endo_47;endo_48;endo_49,endo_43
B,CORPUS_DIST_K,0.3,1,0,25,4,1.0,0.8620689655172413,0.038461538461538464,0.07407407407407407,cardio_1;cardio_2;cardio_3;cardio_4;cardio_5;cardio_6;cardio_7;cardio_9;cardio_11;cardio_12;cardio_13;cardio_14;cardio_15;endo_1;endo_2;endo_4;endo_5;endo_6;endo_8;endo_9;endo_10;endo_11;endo_12;endo_13;endo_15,,14,1,50,5,0.9333333333333333,0.9090909090909091,0.21875,0.35443037974683544,cardio_16;cardio_17;cardio_18;cardio_19;cardio_20;cardio_21;cardio_22;cardio_23;cardio_24;cardio_25;cardio_26;cardio_27;cardio_33;cardio_34;cardio_35;cardio_36;cardio_37;cardio_38;cardio_39;cardio_40;cardio_41;cardio_42;cardio_44;cardio_45;cardio_49;cardio_50;endo_16;endo_17;endo_18;endo_19;endo_20;endo_22;endo_24;endo_25;endo_26;endo_27;endo_28;endo_29;endo_30;endo_31;endo_32;endo_33;endo_34;endo_35;endo_37;endo_45;endo_46;endo_47;endo_48;endo_49,endo_43
B,CORPUS_DIST_K,0.5,1,0,26,3,1.0,0.896551724137931,0.037037037037037035,0.07142857142857142,cardio_1;cardio_2;cardio_3;cardio_4;cardio_5;cardio_6;cardio_7;cardio_8;cardio_9;cardio_11;cardio_12;cardio_13;cardio_14;cardio_15;endo_1;endo_2;endo_4;endo_5;endo_6;endo_8;endo_9;endo_10;endo_11;endo_12;endo_13;endo_15,,14,1,53,2,0.9333333333333333,0.9636363636363636,0.208955223880597,0.34146341463414637,cardio_16;cardio_17;cardio_18;cardio_19;cardio_20;cardio_21;cardio_22;cardio_23;cardio_24;cardio_25;cardio_26;cardio_27;cardio_33;cardio_34;cardio_35;cardio_36;cardio_37;cardio_38;cardio_39;cardio_40;cardio_41;cardio_42;cardio_43;cardio_44;cardio_45;cardio_49;cardio_50;endo_16;endo_17;endo_18;endo_19;endo_20;endo_21;endo_22;endo_24;endo_25;endo_26;endo_27;endo_28;endo_29;endo_30;endo_31;endo_32;endo_33;endo_34;endo_35;endo_37;endo_38;endo_45;endo_46;endo_47;endo_48;endo_49,endo_43
B,CORPUS_DIST_K,1.0,1,0,29,0,1.0,1.0,0.03333333333333333,0.06451612903225806,cardio_1;cardio_2;cardio_3;cardio_4;cardio_5;cardio_6;cardio_7;cardio_8;cardio_9;cardio_11;cardio_12;cardio_13;cardio_14;cardio_15;endo_1;endo_2;endo_3;endo_4;endo_5;endo_6;endo_7;endo_8;endo_9;endo_10;endo_11;endo_12;endo_13;endo_14;endo_15,,15,0,54,1,1.0,0.9818181818181818,0.21739130434782608,0.3571428571428571,cardio_16;cardio_17;cardio_18;cardio_19;cardio_20;cardio_21;cardio_22;cardio_23;cardio_24;cardio_25;cardio_26;cardio_27;cardio_33;cardio_34;cardio_35;cardio_36;cardio_37;cardio_38;cardio_39;cardio_40;cardio_41;cardio_42;cardio_43;cardio_44;cardio_45;cardio_49;cardio_50;endo_16;endo_17;endo_18;endo_19;endo_20;endo_21;endo_22;endo_23;endo_24;endo_25;endo_26;endo_27;endo_28;endo_29;endo_30;endo_31;endo_32;endo_33;endo_34;endo_35;endo_37;endo_38;endo_45;endo_46;endo_47;endo_48;endo_49,
